Overledene-Voornaam,Aantal
Ancelina,1
Ancella,1
Ancellimus,3
Ancellmus,2
Ancellus,1
Ancelma,2
Ancelmus,65
Ancem,3
Ancharius,1
Ancilla,3
Ancilla?,1
Ancke,1
Anolie,1
And,1
Andam,1
Anddries,1
Andeas,1
Andegrisina,3
Andegrisma,1
Andel,3
Andela,1
Andeli,1
Anderas,1
Andere,1
Anderies,4
Anderijes,1
Anderina,3
Anderis,1
Andicius,2
Andies,1
Andjen,1
Andraas,1
Andrae,3
Andraeas,12
Andraeus,1
Andre,87
AndrŽ,159
Andrea,260
Andreaas,1
Andreae,4
Andreala,3
Andrean,1
Andreana,5
Andreanus,1
Andreas,8318
AndreŠs,2
Andr‘as,1
Andreasia,1
Andree,19
AndrŽe,1
Andrees,1
Andregesina,1
Andregisina,1
Andregisma,1
Andregrisma,2
Andrei,4
Andreis,2
Andreola,7
Andres,3
AndrŽs,1
Andresa,1
Andreus,16
AndreŸs,1
Andrew,1
Andri,1
Andria,2
Andriaantie,1
Andriaantje,1
Andriaas,1
Andriae,1
Andriaen,1
Andriana,4
Andriani,1
Andrianus,13
Andrias,21
Andrie,1
Andriea,4
Andriejas,1
Andriena,6
Andrienne,1
Andriens,1
Andries,4289
Andriese,1
Andriesiena,1
Andrieska,2
Andrieske,2
Andriesken,4
Andriessa,1
Andriesse,1
Andriessen,1
Andrietta,5
Andriette,3
Andriezetta,1
Andrijana,1
Andrijas,2
Andrijn,2
Andrijna,4
Andrijs,4
Andrika,2
Andrikus,1
Andrina,12
Andrine,1
Andris,22
Andrisia,1
Andrisina,4
Andrisius,1
Andrissina,1
Andriza,1
Ane,7
Aneegeertruij,1
