"Authorisatie"
"Voor"
"Wij"
"Testament"
"Compareert"
"Testes"
"Deling"
"Transport"
"Actum"
"Aen"
"Aan"
"Ende"
"Door"
"Getuigen"
"Verzoek"
"Gemeente"
"Genoemde"
"Voornoemde"
"Rekest"
"Hertogenbosch"
"Onse Lieve Vrouwe"
"Kinderen"
"Lieve Vrouwe"
"Lieve Vrouw"
"Hem"
"Heeren"
"Bij"
"Onze"
"De"
"Philippus gulden"
"Carolus gulden"
"Hertog van Brabant"
"H. Kruis-altaar"
"Memorie"
"Niet"
"Van"
"Verder"
"Verkooper"
"Verkoopers"
"Koopers"
"Kooper"
"Door"
